scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
Mukhyamantri Udyam Kranti Yojana,STATE,Madhya Pradesh,"Micro, Small & Medium Enterprises Department",entrepreneurship|self-employment,Collateral-free bank-linked finance and interest support for educated youth setting up enterprises/self-employment.,VERIFIED,https://cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=915,,2026-09-19,,,,,,,Madhya Pradesh,true,,,,ASPIRING ENTREPRENEUR,,,,,,,,,,,,,,Enterprise loan|interest subsidy,Bank finance with state support to reduce credit cost.,,MSME/online departmental process,,Current MP scheme dashboard; numeric age/income limits omitted here because current snippet did not expose them.
Mukhyamantri Medhavi Vidyarthi Yojana,STATE,Madhya Pradesh,"Technical Education, Skill Development & Employment Department",students|higher education|fee assistance,Higher-education fee support for meritorious Madhya Pradesh students meeting qualifying academic and family criteria.,VERIFIED,https://www.cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=878,,2026-09-19,,,,,,,Madhya Pradesh,true,,,,,true,HIGHER EDUCATION,,,,,,,,,,,Board/JEE/NEET/other merit thresholds and family-income conditions vary by course and current rules.,Tuition/fee assistance,Payment/reimbursement of eligible higher-education fees.,,State scholarship/MMVY portal,,Current MP scheme dashboard; course-specific numeric thresholds should be pulled from latest guideline.
Gaon Ki Beti Yojana,STATE,Madhya Pradesh,Higher Education Department,students|girls|rural education,Annual incentive for rural girl students who passed Class 12 with qualifying marks and continue higher education.,VERIFIED,https://cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=48,,2026-09-19,,,FEMALE,,,,Madhya Pradesh,true,,,,,true,CLASS 12 PASS / HIGHER EDUCATION,,,,,,,,RURAL,,,At least 60% in Class 12 and rural-resident certificate required.,Education incentive,Monthly-rate scholarship paid for ten months.,"₹5,000 per year (₹500/month for 10 months) on official page",Higher Education scholarship process,,Current official scheme page.
Pratibha Kiran Yojana,STATE,Madhya Pradesh,Higher Education Department,students|girls|urban poor|scholarship,Higher-education incentive for qualifying girls from below-poverty-line urban families who scored at least 60% in Class 12.,VERIFIED,https://cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=50,,2026-09-19,,,FEMALE,,,,Madhya Pradesh,true,,,,,true,CLASS 12 PASS / HIGHER EDUCATION,,,,,,,true,URBAN,,,At least 60% in Class 12 and urban residence.,Education incentive,Scholarship/incentive for continuing higher education.,,Higher Education scholarship process,,Current official scheme page.
Mukhyamantri Jan Kalyan (Sambal 2.0) Yojana,STATE,Madhya Pradesh,Labour Department,labour|social security,Social-security umbrella for registered unorganised workers not otherwise covered by specified social-security funds.,VERIFIED,https://www.cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=694,,2026-09-19,,,,,,,Madhya Pradesh,true,,,REGISTERED UNORGANISED WORKER,,,,,,,,,,,,,,Registration and exclusion from specified other social-security funds apply.,Social-security benefits,Multiple family-support benefits including assistance linked to life events and contingencies.,,Sambal/Jan Kalyan labour process,,Current official MP scheme page.
Mukhyamantri Kanya Abhibhavak Pension Yojana,STATE,Madhya Pradesh,Social Justice & Disabled Persons Welfare Department,senior citizens|parents|pension,Social-security pension for eligible parents whose only children are daughters and who meet scheme conditions.,VERIFIED,https://cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=372,,2026-09-19,,,,,,,Madhya Pradesh,true,,,,,,,,,,,,,,,,"Couple/parent has only daughters; pension is designed for parents after daughters' marriage, subject to current conditions.",,Pension,Monthly social-security pension.,,Social Justice Department/local body process,,Current MP scheme dashboard.
Mukhyamantri Kanya Vivah Yojana,STATE,Madhya Pradesh,Social Justice & Disabled Persons Welfare Department,marriage assistance|women,State marriage assistance for eligible low-income women/couples through approved marriage processes.,VERIFIED,https://www.socialjustice.mp.gov.in/social-assistance,,2026-09-19,18,,FEMALE,,,,Madhya Pradesh,true,,,,,,,,,,,ELIGIBLE FOR MARRIAGE,,,,,,Income/category and programme/event requirements apply under current rules.,Marriage assistance,Financial/in-kind support for qualifying marriages.,,Local body/Social Justice Department,,Listed in current MP Social Justice social-assistance scheme list.
Mukhyamantri Kalyani Vivah Sahayata Yojana,STATE,Madhya Pradesh,Social Justice & Disabled Persons Welfare Department,widows|remarriage|financial assistance,Financial assistance to support remarriage of eligible widowed women (Kalyani).,VERIFIED,https://www.cmhelpline.mp.gov.in/KnowYourEntitleGrid.aspx?pointvalue=x&status=JanSeva,,2026-09-19,,,FEMALE,,,,Madhya Pradesh,true,,,,,,,,,,,WIDOWED / REMARRIAGE,true,,,,,,Remarriage assistance,One-time marriage support.,,Social Justice Department process,,Current MP Jan Seva eligibility grid lists the scheme.
Nishaktjan Vivah Protsahan Yojana,STATE,Madhya Pradesh,Social Justice & Disabled Persons Welfare Department,disability|marriage assistance,Marriage incentive for qualifying persons with disabilities marrying a disabled or non-disabled spouse.,VERIFIED,https://www.cmhelpline.mp.gov.in/KnowYourEntitleDetail.aspx?Schemeid=367&pointvalue=5&status=BySchemeBenifits,,2026-09-19,18,,,,,,Madhya Pradesh,true,,,,,,,,,true,40,MARRIED WITHIN APPLICATION WINDOW,,,,,,Male applicant must be at least 21; female at least 18; applicant must not be an income-tax payer; apply within one year of marriage.,Marriage incentive,One-time incentive based on disability status of spouse(s).,"₹2,00,000 where one spouse is disabled; ₹1,00,000 jointly where both are disabled (official page)",Departmental application,http://socialjustice.mp.gov.in,Official page updated January 2026.
Mukhyamantri Nishakt Shiksha Protsahan Yojana,STATE,Madhya Pradesh,Social Justice & Disabled Persons Welfare Department,disability|education,Education-support scheme for eligible students/persons with disabilities.,VERIFIED,https://cmhelpline.mp.gov.in/KnowYourEntitleGrid.aspx?pointvalue=x&status=JanSeva,,2026-09-19,,,,,,,Madhya Pradesh,true,,,,,true,,,,true,,,,,,,,,Education assistance,Education-related financial/support benefits for qualifying persons with disabilities.,,Social Justice Department process,,Listed in current MP Jan Seva scheme grid; detailed current amount requires scheme-detail lookup.
Mukhyamantri Awasiy Bhu-Adhikar Yojana,STATE,Madhya Pradesh,Revenue Department,housing|land rights|rural development,Residential plot rights for eligible rural families lacking an independent home/plot.,VERIFIED,https://cmhelpline.mp.gov.in/KnowYourEntitleDetail.aspx?Schemeid=973&pointvalue=2&status=ByVibhag,,2026-09-19,,,,,,,Madhya Pradesh,true,,,,,,,,Household generally must not own more than 5 acres; other exclusions apply.,,,,,,RURAL,,No independent suitable residence; other PDS/tax/land and household exclusions in guideline.,,Residential land right,Grant of residential plot/land-right documentation to eligible rural households.,,Revenue Department / Gram Panchayat process,,Current official scheme detail page; eligibility list is more extensive than the normalized fields.
Mukhyamantri Nagriya Bhu-Adhikar Yojana,STATE,Madhya Pradesh,Revenue Department,urban development|land rights,Provides lease/land-right regularisation for eligible occupants of government/nazul land in urban areas.,VERIFIED,https://www.cmhelpline.mp.gov.in/KnowYourEntitleDetail.aspx?Schemeid=972&pointvalue=1&status=BySchemeFor,,2026-09-19,,,,,,,Madhya Pradesh,true,,,,,,,,,,,,,,URBAN,,,Must satisfy eligible possession/land-category and urban revenue rules.,Urban land/lease right,Permanent lease/land-right documentation for qualifying urban plot holders.,,Revenue/urban local process,,Current MP official scheme page.
Domestic Violence Victim Assistance Scheme,STATE,Madhya Pradesh,Women & Child Development Department,women|victim assistance,State assistance for eligible women affected by domestic violence.,VERIFIED,https://www.cmhelpline.mp.gov.in/Schmegrid.aspx?pointvalue=5&status=BySchemeBenifits,,2026-09-19,,,FEMALE,,,,Madhya Pradesh,true,,,,,,,,,,,,,,,,,Domestic-violence victim status and case/authority verification required.,Financial/support assistance,Assistance to women affected by domestic violence.,,Women & Child Development / protection-officer process,,Listed as a current beneficiary scheme on MP CM Helpline; exact benefit formula should be checked from scheme detail.
Palanhar Yojana,STATE,Rajasthan,Social Justice & Empowerment Department / Child Rights,children|care support|social welfare,Monthly support to eligible caregivers (Palanhar) raising orphaned or otherwise vulnerable children within a family environment.,VERIFIED,https://sje.rajasthan.gov.in/Default.aspx?PageID=1156,,2026-09-19,,,,,,,Rajasthan,true,,,,,CHILD/DEPENDENT,,,,,,,,,,,Child must fall in one of the notified vulnerable categories and be cared for by an eligible Palanhar; education/age conditions apply.,,Child maintenance assistance,Recurring maintenance/education support for eligible children.,,Online/SJMS/e-Mitra,https://sje.rajasthan.gov.in/,Official Palanhar page updated August 2026; Jan Soochna also exposes eligibility/service information.
Mukhyamantri Kanyadan Yojana,STATE,Rajasthan,Social Justice & Empowerment Department,marriage assistance|women|social welfare,Marriage assistance for eligible daughters/women from notified disadvantaged families and beneficiary categories.,VERIFIED,https://sje.rajasthan.gov.in/siteadmin/Uploads/202402191205395916.pdf,,2026-09-19,18,,FEMALE,,,,Rajasthan,true,,SC|ST|MINORITY|other eligible categories,,,,,,,,,ELIGIBLE FOR MARRIAGE,,BPL/ANTYODAYA/ASTHA OR OTHER NOTIFIED ELIGIBILITY,,,"Generally assistance for up to two eligible daughters; additional categories include daughters of economically weak widows, persons with disabilities, Palanhar beneficiaries and women sportspersons.",,Marriage assistance,Financial assistance toward eligible marriages.,,SJMS/e-Mitra,,Current department lists CM Kanyadan as an online beneficiary scheme; eligibility quoted from official SJMS manual.
Dr. Savita Ben Ambedkar Inter-Caste Marriage Scheme,STATE,Rajasthan,Social Justice & Empowerment Department,inter-caste marriage|social inclusion,State incentive for eligible inter-caste marriages meeting notified caste and marriage conditions.,VERIFIED,https://sje.rajasthan.gov.in/default.aspx?pageid=161,,2026-09-19,,,,,,,Rajasthan,true,,,,,,,,,,,MARRIED,,,,,,"Marriage must meet notified inter-caste combination, registration, residence and application-window conditions.",Marriage incentive,One-time financial incentive for qualifying inter-caste couples.,,SJMS/e-Mitra,,Current official online-schemes page lists Inter-caste Marriage Scheme; exact amount/combination rules should be read from latest guideline.
Mukhyamantri Anuprati Coaching Yojana,STATE,Rajasthan,Social Justice & Empowerment / Higher Education,coaching|students|competitive exams,State-funded coaching support for eligible students preparing for competitive examinations and professional-course entrance tests.,VERIFIED,https://sje.rajasthan.gov.in/default.aspx?pageid=161,,2026-09-19,,,,,,,Rajasthan,true,,,,,true,,,,,,,,,,,,"Category, merit, income and exam/course conditions apply according to current Anuprati rules.",Coaching assistance,Coaching fees/support for qualifying competitive and entrance examinations.,,Online through state scholarship/SJMS process,,Current official page lists Anuprati and revised rules.
Mukhyamantri Ekal Nari Samman Pension Yojana,STATE,Rajasthan,Social Justice & Empowerment Department,widows|single women|pension,"State social-security pension for eligible widowed, divorced or deserted women.",VERIFIED,https://sje.rajasthan.gov.in/siteadmin/Uploads/202406061513245452.pdf,,2026-09-19,18,,FEMALE,SELF+SPOUSE/FAMILY AS APPLICABLE,,48000,Rajasthan,true,,,,,,,,,,,WIDOWED|DIVORCED|DESERTED,,,,,,Income exemptions apply to specified BPL/Antyodaya/Astha and vulnerable categories; disqualifications can apply where applicant/son is certain government employee/pensioner.,Pension,Monthly state social-security pension.,,e-Mitra/Jan Aadhaar based online application,,2024 revised state pension rules plus current SJE portal; current pension rate intentionally left blank.
Mukhyamantri Vishesh Yogyajan Samman Pension Yojana,STATE,Rajasthan,Social Justice & Empowerment Department,disability|pension,State pension for eligible persons with benchmark disabilities and certain additional notified conditions.,VERIFIED,https://sje.rajasthan.gov.in/siteadmin/Uploads/202109111338281207.pdf,,2026-09-19,,,,INDIVIDUAL/FAMILY,,60000,Rajasthan,true,,,,,,,,,true,40,,,,,,,Also covers notified dwarfism/transgender and certain conditions; income exemptions apply for specified vulnerable categories.,Pension,"Monthly pension, rate varying by age/condition.",,e-Mitra/Jan Aadhaar,,"Scheme remains in current pension application documentation; detailed eligibility source is older, so current income/rate should be reconfirmed before production."
Mukhyamantri Vridhjan Samman Pension Yojana,STATE,Rajasthan,Social Justice & Empowerment Department,senior citizens|pension,State old-age social-security pension for eligible Rajasthan residents meeting age and income conditions.,VERIFIED,https://sje.rajasthan.gov.in/siteadmin/Uploads/202406061513245452.pdf,,2026-09-19,55,,,SELF+SPOUSE,,48000,Rajasthan,true,,,,,,,,,,,,,,,,,Age threshold differs by sex under state rules; normalized age_min stores the lower threshold and should not replace sex-specific rule logic.,Pension,Monthly old-age pension.,,e-Mitra/Jan Aadhaar,,2024 revised state pension rules and current application documentation; sex-specific age thresholds should be implemented as conditional rules.
Mukhyamantri Self Employment Scheme for Specially Abled Persons,STATE,Rajasthan,Directorate of Specially Abled Persons / SJE,disability|self-employment|loan assistance,Self-employment support for eligible persons with disabilities.,VERIFIED,https://sje.rajasthan.gov.in/default.aspx?pageid=161,,2026-09-19,,,,,,,Rajasthan,true,,,,ASPIRING SELF-EMPLOYED,,,,,true,,,,,,,,"Disability certification, residence and project/financial conditions apply.",Self-employment financial assistance,Loan/subsidy assistance for eligible self-employment activity.,,Online/SJMS/e-Mitra,,Listed as a current individual-beneficiary scheme on official SJE online-schemes page.
Astha Card Scheme,STATE,Rajasthan,Directorate of Specially Abled Persons / SJE,disability|social welfare,State entitlement/card support for families with multiple/qualifying persons with disabilities under notified conditions.,VERIFIED,https://sje.rajasthan.gov.in/default.aspx?pageid=161,,2026-09-19,,,,,,,Rajasthan,true,,,,,,,,,true,,,,,,,Eligibility depends on number/severity of disabled family members and current Astha rules.,,Entitlement card / linked welfare benefits,Access to specified concessions/benefits for eligible families.,,Online/SJMS/e-Mitra,,Current official SJE online-schemes page lists Astha Card Scheme; exact family/disability threshold needs latest guideline.
Devnarayan Girls Scooty and Incentive Scheme,STATE,Rajasthan,College Education Department,students|girls|higher education,Scooty and education incentive scheme for qualifying girl students from notified Devnarayan beneficiary communities/categories.,VERIFIED,https://hte.rajasthan.gov.in/HTE/30992,,2026-09-19,,,FEMALE,,,,Rajasthan,true,,NOTIFIED DEVNARAYAN BENEFICIARY COMMUNITIES,,,true,HIGHER EDUCATION,,,,,,,,,,,"Academic merit, category, Rajasthan residence and course/institution conditions apply.",Scooty|education incentive,Scooty distribution and/or incentive based on merit and scheme rules.,,State scholarship portal/College Education,,Final 2025-26 merit list published July 2026 on official Higher Education portal.
Kali Bai Bheel Medhavi Chhatra Scooty Yojana,STATE,Rajasthan,Higher Education / partner welfare departments,students|girls|merit,Scooty award for meritorious girl students across notified social categories and departmental quotas.,VERIFIED,https://hte.rajasthan.gov.in/HTE/30992,,2026-09-19,,,FEMALE,,,,Rajasthan,true,,,,,true,CLASS 10/12 PASS + HIGHER EDUCATION,,,,,,,,,,,"Merit cut-offs, category, board, course and income conditions vary by administering department.",Scooty award,Scooty and related support for selected meritorious girls.,,State scholarship portal,,Official final/cut-off lists for 2025-26 published July 2026.
Mukhyamantri Uchcha Shiksha Scholarship Yojana,STATE,Rajasthan,College Education Department,students|higher education|scholarship,State higher-education scholarship for eligible meritorious students from lower-income families.,LIKELY_ACTIVE,https://hte.rajasthan.gov.in/HTE/30992,,2026-09-19,,,,,,,Rajasthan,true,,,,,true,HIGHER EDUCATION,,,,,,,,,,,"Board merit, Rajasthan residence, regular study and family-income conditions apply.",Scholarship,Recurring higher-education scholarship.,,State scholarship portal,,"Long-running College Education scheme; current portal hosts scholarship section, but this search did not surface a 2026 scheme-specific notice."
Ambedkar DBT Voucher Yojana,STATE,Rajasthan,Social Justice & Empowerment / College Education,students|housing support|higher education,DBT support toward accommodation/food for eligible college students studying away from home.,LIKELY_ACTIVE,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,,,,,Rajasthan,true,,,,,true,COLLEGE/HIGHER EDUCATION,,,,,,,,STUDYING AWAY FROM HOME,,,"Category, income, institution and distance/residence conditions apply under current guidelines.",DBT accommodation support,Monthly/periodic voucher-style financial support for lodging and subsistence.,,State scholarship/SSO process,,State Jan Aadhaar integration/current scheme ecosystem supports continued operation; exact 2026 rates/criteria should be verified.
Mukhyamantri Nari Shakti Udyam Protsahan Yojana,STATE,Rajasthan,Women Empowerment Department,women|entrepreneurship|MSME,Entrepreneurship finance/incentive support for eligible women establishing or expanding enterprises.,VERIFIED,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,FEMALE,,,,Rajasthan,true,,,,ASPIRING/EXISTING WOMAN ENTREPRENEUR,,,,,,,,,,,,,,Enterprise finance/subsidy,Financial support for women-led enterprises.,,Women Empowerment/SSO/financial institution process,,Listed as a Jan Aadhaar-integrated state scheme on current Rajasthan portal; numeric loan/subsidy terms omitted pending exact current guideline.
Mukhyamantri Krishak Sathi Sahayata Yojana,STATE,Rajasthan,Agriculture Marketing Department,farmers|accident assistance,Financial assistance to eligible farmers/agricultural persons or families in specified accident/death/disability circumstances.,VERIFIED,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,,,,,Rajasthan,true,,,FARMER/AGRICULTURAL WORK,,,,true,,,,,,,,,,Qualifying accident/death/disability and agriculture-related eligibility conditions apply.,Accident/contingency assistance,Case-based financial assistance.,,Agriculture Marketing Department / local market committee process,,Listed as a current Jan Aadhaar-integrated state scheme.
Mukhyamantri Beej Swavlamban Yojana,STATE,Rajasthan,Agriculture Department,farmers|agriculture|seeds,Promotes farmer self-reliance in quality seed production/distribution through organised farmer groups and support.,VERIFIED,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,,,,,Rajasthan,true,,,FARMER,,,,true,,,,,,,,,,Eligible crop/seed production group and agriculture-department conditions apply.,Agricultural input/seed support,Support for quality seed production and availability.,,Agriculture Department process,,Listed as a current Jan Aadhaar-integrated Agriculture Department scheme.
Incentive to Girls Studying Agriculture,STATE,Rajasthan,Agriculture Department,students|girls|agriculture education,Financial incentive for eligible girl students pursuing agriculture education at notified levels.,VERIFIED,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,FEMALE,,,,Rajasthan,true,,,,,true,AGRICULTURE EDUCATION,,,,,,,,,,,,Education incentive,Financial incentive to encourage girls in agriculture studies.,,Agriculture Department / education institution process,,Listed as a current Jan Aadhaar-integrated state scheme; current amount varies by study level and is not guessed here.
Mahatma Jyotiba Phule Mandi Shramik Kalyan Yojana,STATE,Rajasthan,Agriculture Marketing Department,labour|market workers|social welfare,Welfare assistance for eligible mandi labourers/workers and their families.,VERIFIED,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,,,,,Rajasthan,true,,,REGISTERED/ELIGIBLE MANDI WORKER,,,,,,,,,,,,,,Worker registration and benefit-specific conditions apply.,Worker welfare assistance,Multiple welfare benefits for eligible mandi workers/families.,,Agriculture Marketing / mandi committee process,,Listed as a current Jan Aadhaar-integrated state scheme.
Camel Conservation Scheme,STATE,Rajasthan,Animal Husbandry Department,livestock|farmers|animal welfare,State assistance intended to support camel conservation and eligible camel rearers.,VERIFIED,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,,,,,Rajasthan,true,,,CAMEL REARER/LIVESTOCK KEEPER,,,,,,,,,,,,,,Camel ownership/registration and animal-husbandry conditions apply.,Livestock conservation assistance,Financial/in-kind support connected with camel conservation.,,Animal Husbandry Department process,,Listed as a current Jan Aadhaar-integrated Animal Husbandry scheme.
Mukhyamantri Ayushman Durghatna Bima Yojana,STATE,Rajasthan,State Insurance & Provident Fund / Medical & Health ecosystem,insurance|accident protection,State accident-insurance protection for eligible covered Rajasthan residents/families under the state health/social-protection ecosystem.,VERIFIED,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,,,,,Rajasthan,true,,,,,,,,,,,,,,,,,Coverage is linked to eligible state beneficiary/Jan Aadhaar categories and insured-event definitions.,Accident insurance,Insurance compensation for covered accidental death/disability events.,,Jan Aadhaar/state insurance claim process,,Listed as a current Jan Aadhaar-integrated scheme; exact coverage amounts should be read from latest policy document.
Mukhyamantri Laghu Seemant Vriddh Krishak Samman Pension Yojana,STATE,Rajasthan,Social Justice & Empowerment Department,farmers|senior citizens|pension,State pension for eligible elderly small and marginal farmers.,VERIFIED,https://sje.rajasthan.gov.in/siteadmin/Uploads/202402061153483977.pdf,,2026-09-19,,,,,,,Rajasthan,true,,,SMALL/MARGINAL FARMER,,,,true,,,,,,,,,,"Age, landholding classification, income and pension exclusions apply under scheme rules.",Pension,Monthly pension to eligible elderly small/marginal farmers.,,e-Mitra/Jan Aadhaar,,Included in current Rajasthan pension-application documentation; numeric age/land limits should be verified from latest dedicated rule set.
Distance Education Scheme for Girls,STATE,Rajasthan,College Education Department,students|girls|distance education,Support for eligible women/girl students pursuing approved distance education programmes.,LIKELY_ACTIVE,https://janaadhaar.rajasthan.gov.in/content/raj/janaadhaar/en/performance-dashboard/jan-aadhaar-services1.html,,2026-09-19,,,FEMALE,,,,Rajasthan,true,,,,,true,DISTANCE HIGHER EDUCATION,,,,,,,,,,,"Course, institution and other current departmental conditions apply.",Education support,Financial/fee support for eligible distance education.,,College Education / scholarship process,,Listed among Jan Aadhaar-integrated state schemes; exact current benefit structure needs review.
Mukhyamantri Majhi Ladki Bahin Yojana,STATE,Maharashtra,Women & Child Development Department,women|financial assistance,Monthly income support for eligible women in Maharashtra.,VERIFIED,https://ahilyanagar.maharashtra.gov.in/en/government-schemes/,,2026-09-19,21,65,FEMALE,,,,Maharashtra,true,,,,,,,,,,,,,,,,,,DBT cash assistance,Monthly financial support to eligible women.,"₹1,500 per month",Online/local facilitation,,Current Maharashtra government scheme listing and state economic survey evidence.
Lek Ladki Yojana,STATE,Maharashtra,Women & Child Development Department,girls|children|education,Lifecycle financial support for eligible girl children in yellow/orange ration-card families.,VERIFIED,https://zpthane.maharashtra.gov.in/en/women-and-child-development-department/,,2026-09-19,,,FEMALE,FAMILY_ANNUAL,,100000,Maharashtra,true,,,,,,,,,,,,,,,,One or two eligible daughters subject to family-planning and birth-date conditions.,Yellow or orange ration card; milestone-specific school and unmarried conditions.,Lifecycle DBT,Payments at birth and education milestones through age 18.,"Total ₹1,01,000",Anganwadi/WCD process,,
Mukhyamantri Yuva Karya Prashikshan Yojana,STATE,Maharashtra,"Skills, Employment, Entrepreneurship & Innovation Department",youth|employment|training,State work-training programme for eligible youth.,VERIFIED,https://ahilyanagar.maharashtra.gov.in/en/government-schemes/,,2026-09-19,,,,,,,Maharashtra,true,,,,YOUTH/TRAINEE,,,,,,,,,,,,,,Training|stipend,Workplace training and stipend support.,,Online/state employment portal,,
Mukhyamantri Teerth Darshan Yojana,STATE,Maharashtra,Social Justice / State Government,senior citizens|social welfare,State-supported pilgrimage assistance for eligible senior citizens.,VERIFIED,https://ahilyanagar.maharashtra.gov.in/en/government-schemes/,,2026-09-19,,,,,,,Maharashtra,true,,,,,,,,,,,,,,,,,,Travel assistance,Supported pilgrimage for eligible residents.,,District/state application process,,
Mukhyamantri Vayoshree Yojana,STATE,Maharashtra,Social Justice & Special Assistance Department,senior citizens|assistive devices,Assistance for eligible senior citizens for mobility/assistive needs.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,65,,,,,,Maharashtra,true,,,,,,,,,,,,,,,,,,Financial/assistive support,Support for approved assistive devices and daily-living aids.,,MahaDBT/department process,,
Mukhyamantri Baliraja Vij Savalat Yojana,STATE,Maharashtra,Energy Department,farmers|electricity|agriculture,State electricity concession/support for eligible agricultural consumers.,VERIFIED,https://ahilyanagar.maharashtra.gov.in/en/government-schemes/,,2026-09-19,,,,,,,Maharashtra,true,,,FARMER,,,,true,,,,,,,,,,,Electricity subsidy,Electricity cost relief for eligible agricultural consumers.,,,,
Mukhyamantri Annapurna Yojana,STATE,Maharashtra,"Food, Civil Supplies / State Government",food security|household assistance,State support for eligible households for cooking-fuel related welfare.,VERIFIED,https://ahilyanagar.maharashtra.gov.in/en/government-schemes/,,2026-09-19,,,,,,,Maharashtra,true,,,,,,,,,,,,,,,,,,Household subsidy,State household support under Annapurna programme.,,,,Scheme currently listed by Maharashtra government; detailed household rules should be rechecked before production use.
Shiv Bhojan Yojana,STATE,Maharashtra,"Food, Civil Supplies & Consumer Protection Department",food security|urban welfare,Affordable cooked meals at designated Shiv Bhojan centres.,VERIFIED,https://divcomcsn.maharashtra.gov.in/en/schemes-programmes/schemes-under-the-department-of-food/,,2026-09-19,,,,,,,Maharashtra,false,,,,,,,,,,,,,,,,,,Subsidized meal,Standard meal at subsidized price.,₹10 per thali,Walk-in at Shiv Bhojan centres,,
APL Farmer Direct Benefit Scheme,STATE,Maharashtra,"Food, Civil Supplies & Consumer Protection Department",farmers|food security|financial assistance,Cash support for eligible APL farmer households in notified farmer-suicide-affected districts not covered by NFSA.,VERIFIED,https://divcomcsn.maharashtra.gov.in/en/schemes-programmes/schemes-under-the-department-of-food/,,2026-09-19,,,,,,,Maharashtra,true,Notified farmer-suicide-affected districts,,FARMER,,,,true,,,,,,,,,,,DBT cash assistance,Monthly cash transfer instead of foodgrain entitlement.,₹170 per beneficiary per month from April 2024,,,
Namo Shetkari Mahasanman Nidhi Yojana,STATE,Maharashtra,Agriculture Department,farmers|income support,Maharashtra state farmer income-support top-up programme.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,,FARMER,,,,true,,,,,,,,,,,Farmer income support,State financial support for eligible farmer beneficiaries.,,MahaDBT/agriculture-linked system,,
Birsa Munda Krishi Kranti Yojana,STATE,Maharashtra,Agriculture Department,farmers|tribal welfare|agriculture,State agricultural development support targeted to eligible tribal farmers.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,ST,,,,,true,,,,,,,,,,,Agricultural asset/input assistance,Support for eligible farm improvement components.,,,,
Dr. Babasaheb Ambedkar Krushi Swavalamban Yojana,STATE,Maharashtra,Agriculture Department,farmers|SC welfare|agriculture,Agricultural self-reliance assistance for eligible Scheduled Caste farmers.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,SC,,,,,true,,,,,,,,,,,Agricultural asset/input assistance,Support for eligible farm infrastructure and inputs.,,,,
Bhausaheb Fundkar Phalbaag Lagvad Yojana,STATE,Maharashtra,Agriculture Department,farmers|horticulture,State assistance to farmers for orchard/fruit plantation establishment.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,,FARMER,,,,true,,,,,,,,,,,Horticulture subsidy,Assistance for eligible fruit plantation establishment.,,,,
State Agriculture Mechanization Scheme,STATE,Maharashtra,Agriculture Department,farmers|mechanization,State support for agricultural machinery and mechanization components.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,,,,,,true,,,,,,,,,,,Machinery subsidy,Subsidy/support for eligible farm machinery.,,,,
Chief Minister Sustainable Agriculture Irrigation Scheme,STATE,Maharashtra,Agriculture Department,farmers|irrigation,State assistance for sustainable irrigation assets for eligible farmers.,VERIFIED,https://mahadbt.maharashtra.gov.in/,,2026-09-19,,,,,,,Maharashtra,true,,,,,,,true,,,,,,,,,,,Irrigation assistance,Support for approved irrigation infrastructure/components.,,,,
