scheme_name,rule_id,field,operator,value,value_type,rule_group,source_basis,confidence,notes
AICTE Swanath Scholarship Scheme (Technical Degree/Diploma),R0203,institution_aicte_approved,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Must be AICTE-approved.
Pre-Matric Scholarship for Students with Disabilities,R0204,has_UDID,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Current DEPwD page.
Pre-Matric Scholarship for Students with Disabilities,R0205,receiving_other_scholarship,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,No simultaneous scholarship/stipend.
Post-Matric Scholarship for Students with Disabilities,R0206,has_UDID,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Current DEPwD page.
Post-Matric Scholarship for Students with Disabilities,R0207,receiving_other_scholarship,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,No simultaneous post-matric scholarship/stipend.
Top Class Education Scholarship for Students with Benchmark Disabilities,R0208,has_UDID,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Current DEPwD page.
Top Class Education Scholarship for Students with Benchmark Disabilities,R0209,institution_notified,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Notified institute required.
Ayushman Vay Vandana Card (PM-JAY coverage for senior citizens aged 70+),R0210,income_restriction,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Coverage is irrespective of income.
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),R0211,has_bank_or_post_office_account,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Required for enrolment.
Pradhan Mantri Suraksha Bima Yojana (PMSBY),R0212,has_bank_or_post_office_account,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Required for enrolment.
Atal Pension Yojana (APY),R0213,has_savings_bank_or_post_office_account,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Required for enrolment.
Atal Pension Yojana (APY),R0214,is_income_tax_payer,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,New APY account cannot be opened by current/past income-tax payer at application date under rule effective 1 Oct 2022.
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),R0215,is_income_tax_payer,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Exclusion.
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),R0216,covered_by_EPFO_ESIC_NPS,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Exclusion.
National Pension Scheme for Traders and Self Employed Persons (NPS-Traders / PM-LVM),R0217,is_income_tax_payer,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Exclusion.
PM Vishwakarma,R0218,government_employee_in_family,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Government employees and their family are excluded.
PM Vishwakarma,R0219,family_members_already_registered,equals,0,number,ALL,explicit_condition_from_official_scheme_text,HIGH,Only one member per family may register.
PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),R0220,street_vendor_status,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Core occupation/status requirement.
Pradhan Mantri Ujjwala Yojana 2.0 (PMUY),R0221,household_has_existing_lpg_connection,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,No OMC LPG connection in same household.
PM Surya Ghar: Muft Bijli Yojana,R0222,has_valid_electricity_connection,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Residential electricity connection required.
PM Surya Ghar: Muft Bijli Yojana,R0223,already_received_rooftop_solar_subsidy,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,No duplicate subsidy for same installation.
Pradhan Mantri Awas Yojana - Urban 2.0 (PMAY-U 2.0),R0224,owns_pucca_house_anywhere_in_india,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Core exclusion.
Pradhan Mantri Awas Yojana - Urban 2.0 (PMAY-U 2.0),R0225,received_government_housing_in_last_20_years,boolean_equals,false,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Core exclusion under PMAY-U 2.0.
Pradhan Mantri Garib Kalyan Anna Yojana / Free Food Grains under NFSA,R0226,nfsa_beneficiary_category,in,AAY|PHH,string,ALL,explicit_condition_from_official_scheme_text,HIGH,Must be identified under NFSA.
Viksit Bharat - Guarantee for Rozgar and Ajeevika Mission (Gramin) (VB-G RAM G),R0227,willing_unskilled_manual_work,boolean_equals,true,boolean,ALL,explicit_condition_from_official_scheme_text,HIGH,Core statutory eligibility condition.
