scheme_name,government_level,state_or_ut,ministry_or_department,category,short_description,status_confidence,official_source_url,secondary_source_url,last_checked_date,age_min,age_max,gender,income_type,income_min,income_max,state_or_ut_requirement,domicile_requirement,district_requirement,social_category,occupation,employment_status,student_status,education_level,farmer_status,land_holding_requirement,disability_status,disability_percentage_min,marital_status,widow_status,bpl_status,rural_urban_requirement,minority_requirement,family_conditions,other_eligibility_conditions,benefit_type,benefit_summary,benefit_amount,application_method,official_application_url,confidence_notes
Janani Suraksha Yojana (JSY),CENTRAL,All India,Ministry of Health & Family Welfare / National Health Mission,Maternity,"Safe-motherhood cash assistance promoting institutional delivery, with eligibility differing between low- and high-performing States.",VERIFIED,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309,,2026-09-19,,,FEMALE,,,,,,,,,,,,,,,,,,,,,,Low Performing States cover pregnant women delivering in government facilities more broadly; High Performing States generally target BPL/SC/ST women. Accredited private-facility rules also apply.,Cash Assistance,Maternal cash assistance for eligible institutional deliveries; ASHA incentives are separate.,"Mother: typically ₹1,400 rural/₹1,000 urban in Low Performing States; ₹700 rural/₹600 urban in High Performing States for eligible categories",Access through public/accredited health facility and ASHA/ANM/NHM maternal-health workflow.,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309,Eligibility is conditional on State classification; BPL/social-category conditions are therefore kept out of global deterministic fields.
Janani Shishu Suraksha Karyakram (JSSK),CENTRAL,All India,Ministry of Health & Family Welfare / National Health Mission,Healthcare,Entitles pregnant women and sick newborns/infants to specified free services in public health institutions.,VERIFIED,https://nhm.gov.in/index4.php?lang=1&level=0&linkid=150&lid=171,,2026-09-19,,,FEMALE,,,,,,,,,,,,,,,,,,,,,,Pregnant women using public health institutions; specified entitlements also cover sick newborns/infants and maternal complications according to NHM guidelines.,Free Healthcare Services,"Free delivery including C-section, drugs, diagnostics, blood, diet and transport; free care also extends to eligible sick newborns/infants.",Non-cash entitlement,Use services at participating public health institutions; no conventional online application.,https://nhm.gov.in/index4.php?lang=1&level=0&linkid=150&lid=171,NHM programme page was updated in 2026.
Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA),CENTRAL,All India,Ministry of Health & Family Welfare,Maternity,"Fixed-day free antenatal care programme, especially for women in the second and third trimester.",VERIFIED,https://pmsma.mohfw.gov.in/,,2026-09-19,,,FEMALE,,,,,,,,,,,,,,,,,,,,,,"Pregnant woman, with programme emphasis on second/third trimester and identification/referral of high-risk pregnancies.",Free Healthcare Service,Comprehensive antenatal examination and risk identification at designated facilities on PMSMA days.,Non-cash service,"Attend a designated PMSMA public health facility, generally on the 9th of each month.",https://pmsma.mohfw.gov.in/,Official PMSMA dashboard/site shows current 2026 activity.
Rashtriya Bal Swasthya Karyakram (RBSK),CENTRAL,All India,Ministry of Health & Family Welfare / National Health Mission,Children,"Child health screening and early intervention for birth defects, diseases, deficiencies and developmental delays.",VERIFIED,https://nhm.gov.in/index1.php?lang=1&level=4&sublinkid=1190&lid=583,,2026-09-19,0,18,ANY,,,,,,,,,,,,,,,,,,,,,,Children from birth to 18 years are covered through different service-delivery channels; exact screening route depends on age/institution.,Screening / Treatment,"Screening, referral and free treatment/management for covered child-health conditions through public health systems.",Non-cash healthcare service,"Screening through public facilities, schools/Anganwadi outreach and District Early Intervention Centres.",https://nhm.gov.in/index1.php?lang=1&level=4&sublinkid=1190&lid=583,NHM programme is current; no household income requirement.
Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB PM-JAY),CENTRAL,All India,"National Health Authority, Ministry of Health & Family Welfare",Healthcare,Publicly financed hospitalization cover for eligible poor/vulnerable families identified under PM-JAY beneficiary criteria.,VERIFIED,https://nha.gov.in/PM-JAY,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,,,,Eligibility is primarily based on notified deprivation/occupational and automatic-inclusion categories rather than a single income ceiling; current beneficiary database rules apply.,Health Insurance / Cashless Hospitalization,Cashless secondary and tertiary hospitalization at empanelled facilities for eligible families.,Up to ₹5 lakh per family per year,Check beneficiary status and create Ayushman card through official beneficiary channels/CSC/empanelled facilities.,https://beneficiary.nha.gov.in/,Complex SECC/occupational eligibility is intentionally kept as text to avoid false deterministic simplification.
Ayushman Vay Vandana Card (PM-JAY coverage for senior citizens aged 70+),CENTRAL,All India,"National Health Authority, Ministry of Health & Family Welfare",Senior Citizens,PM-JAY health coverage expansion for all senior citizens aged 70 years or more irrespective of income.,VERIFIED,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=2053881&lang=2&reg=48,,2026-09-19,70,,ANY,,,,,,,,,,,,,,,,,,,,,,Age 70 or above is the core eligibility criterion; no income restriction.,Health Insurance / Cashless Hospitalization,PM-JAY hospitalization cover for senior citizens aged 70+; existing PM-JAY families receive the senior top-up as specified.,₹5 lakh per year on family basis for eligible 70+ senior citizens,"Enroll/create Ayushman Vay Vandana card through Ayushman App, beneficiary portal, CSC or empanelled facility.",https://beneficiary.nha.gov.in/,Official Government announcement and NHA beneficiary channel used.
Nikshay Poshan Yojana,CENTRAL,All India,"Central TB Division, Ministry of Health & Family Welfare",Healthcare,Direct nutritional-support payment to notified tuberculosis patients during treatment.,VERIFIED,https://tbcindia.mohfw.gov.in/ni-kshay-poshan-yojana/,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,,,,Notified TB patient receiving treatment under the national TB programme; DBT requires valid beneficiary/bank details.,Direct Benefit Transfer,Monthly nutritional support during anti-TB treatment for eligible notified TB patients.,"₹1,000 per month during treatment",TB patient is notified/registered in Ni-kshay; bank/identity details are captured for DBT.,https://nikshay.in/,"A 2025 NHM review records the increase to ₹1,000/month from November 2024; some older CTD FAQ text may still show the legacy ₹500 amount."
Pradhan Mantri National Dialysis Programme (PMNDP),CENTRAL,All India,Ministry of Health & Family Welfare / National Health Mission,Healthcare,"Dialysis services through public health facilities, with free access prioritized for poor/vulnerable patients.",VERIFIED,https://nhm.gov.in/index1.php?lang=1&level=2&sublinkid=1218&lid=192,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,,,,Patient requires dialysis; free-service prioritization and documentation are implemented by State/UT health systems.,Free/Subsidized Healthcare Service,Haemodialysis/peritoneal dialysis services through participating public facilities and PPP arrangements.,Free for eligible poor/BPL patients under programme norms; other arrangements vary by State,Referral/registration at participating public dialysis centre according to State NHM process.,https://nhm.gov.in/index1.php?lang=1&level=2&sublinkid=1218&lid=192,NHM page shows current programme activity; exact State-level entitlement workflow can vary.
Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),CENTRAL,All India,"Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers",Healthcare,Network of Jan Aushadhi Kendras supplying quality generic medicines at affordable prices.,VERIFIED,https://janaushadhi.gov.in/about-pmbjb,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,,,,Open to the general public; prescription requirements apply where legally required for a medicine.,Affordable Medicines,Access to lower-priced quality generic medicines through Jan Aushadhi Kendras.,Price savings vary by medicine,No beneficiary registration required; purchase medicines from a Jan Aushadhi Kendra.,https://janaushadhi.gov.in/,"Official portal reports more than 19,000 Kendras by March 2026."
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),CENTRAL,All India,"Department of Financial Services, Ministry of Finance",Insurance,Renewable one-year life insurance linked to a participating bank/post-office account.,VERIFIED,https://financialservices.gov.in/pradhan-mantri-jeevan-jyoti-bima-yojana-pmjjby,,2026-09-19,18,50,ANY,,,,,,,,,,,,,,,,,,,,,,Must hold an eligible individual bank/post-office account and consent to auto-debit; one cover per person.,Life Insurance,"Life cover for death due to any reason, subject to policy terms and lien rules for new enrolment.",₹2 lakh death cover; annual premium ₹436,Enroll through participating bank/post office and authorize auto-debit.,https://financialservices.gov.in/pmjjby,Current Department of Financial Services page used.
Pradhan Mantri Suraksha Bima Yojana (PMSBY),CENTRAL,All India,"Department of Financial Services, Ministry of Finance",Insurance,Renewable personal accident insurance linked to a participating bank/post-office account.,VERIFIED,https://financialservices.gov.in/pmsby,,2026-09-19,18,70,ANY,,,,,,,,,,,,,,,,,,,,,,Must hold an eligible individual bank/post-office account; one cover per person even if multiple accounts exist.,Accident Insurance,Accidental death/total disability and partial-disability cover.,₹2 lakh death/permanent total disability; ₹1 lakh partial disability; annual premium ₹20,Enroll through participating bank/post office and authorize auto-debit.,https://financialservices.gov.in/pmsby,Current DFS page updated December 2025 and live in 2026.
Atal Pension Yojana (APY),CENTRAL,All India,Pension Fund Regulatory and Development Authority / Department of Financial Services,Pension,Voluntary defined-pension scheme for eligible citizens joining before age 40.,VERIFIED,https://pfrda.org.in/web/pfrda/schemes/atal-pension-yojana-apy,,2026-09-19,18,40,ANY,,,,,,,,,,,,,,,,,,,,,,Must have savings bank/post-office account. A person who is or has been an income-tax payer as on application date cannot open a new APY account (rule effective 1 Oct 2022).,Contributory Pension,"Chosen guaranteed pension slab payable after age 60, backed by subscriber contributions under APY rules.","₹1,000 to ₹5,000 per month after age 60 depending on chosen contribution/pension slab",Open APY account through bank/post office or available digital enrolment channel.,https://pfrda.org.in/web/pfrda/schemes/atal-pension-yojana-apy,Current PFRDA FAQ used.
Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM),CENTRAL,All India,Ministry of Labour & Employment,Pension,Voluntary contributory pension for low-income unorganised workers.,VERIFIED,https://labour.gov.in/FAQ-0,,2026-09-19,18,40,ANY,INDIVIDUAL_MONTHLY,,15000,,,,,Unorganised worker,Unorganised,,,,,,,,,,,,,Not covered under specified statutory social-security schemes such as NPS/ESIC/EPFO and not an income-tax payer.,Contributory Pension,"Minimum assured monthly pension after age 60, with matching Central Government contribution under the scheme.","₹3,000 per month after age 60",Enroll through CSC/authorised Maandhan channel with bank/Aadhaar details and contributory payment.,https://maandhan.in/,Official Labour Ministry FAQ used.
National Pension Scheme for Traders and Self Employed Persons (NPS-Traders / PM-LVM),CENTRAL,All India,Ministry of Labour & Employment,Pension,"Voluntary contributory pension for eligible small traders, shopkeepers and self-employed persons.",VERIFIED,https://dge.gov.in/schemes_programmes,,2026-09-19,18,40,ANY,ANNUAL_TURNOVER,,15000000,,,,,Retail trader|Shopkeeper|Self-employed person,Self-employed,,,,,,,,,,,,,Not an income-tax payer and not covered by specified EPFO/ESIC/NPS Government or PM-SYM exclusions.,Contributory Pension,"Assured pension after age 60 with matching Central Government contribution, subject to scheme contribution schedule.","₹3,000 per month after age 60","Enroll through CSC/Maandhan enrolment channel with identity, bank and business details.",https://maandhan.in/,Current government scheme listing used; turnover ceiling is ₹1.5 crore annually.
Indira Gandhi National Old Age Pension Scheme (IGNOAPS),CENTRAL,All India,Ministry of Rural Development - National Social Assistance Programme,Senior Citizens,"Central social pension assistance for older persons in BPL households, implemented through States/UTs.",VERIFIED,https://nsap.nic.in/,,2026-09-19,60,,ANY,,,,,,,,,,,,,,,,,,true,,,,Belong to a household recognized as below poverty line under NSAP/State implementation rules.,Social Pension,"Central pension assistance, commonly supplemented by State/UT contributions.",Central share ₹200/month age 60-79; ₹500/month age 80+,"Apply through State/UT social-welfare/pension portal, Gram Panchayat/municipal or designated local office.",https://nsap.nic.in/,Current NSAP programme evidence and 2025 official government summary used; State top-ups vary.
Indira Gandhi National Widow Pension Scheme (IGNWPS),CENTRAL,All India,Ministry of Rural Development - National Social Assistance Programme,Widows,Central social pension assistance for widows in BPL households.,VERIFIED,https://nsap.nic.in/,,2026-09-19,40,79,FEMALE,,,,,,,,,,,,,,,,WIDOWED,true,true,,,,Widow in a BPL household; after age 80 the higher NSAP pension rate applies.,Social Pension,"Central pension assistance for eligible widows, with State/UT top-ups in many jurisdictions.",Central share ₹300/month age 40-79; ₹500/month from age 80,Apply through State/UT social-welfare/pension portal or designated local authority.,https://nsap.nic.in/,Central assistance rates based on current official government NSAP summary; State additions differ.
Indira Gandhi National Disability Pension Scheme (IGNDPS),CENTRAL,All India,Ministry of Rural Development - National Social Assistance Programme,Disability,Central social pension assistance for persons with severe disability in BPL households.,VERIFIED,https://nsap.nic.in/,,2026-09-19,18,79,ANY,,,,,,,,,,,,,,true,80,,,true,,,,BPL household and disability meeting NSAP's severe-disability criterion; State implementation may require disability certificate/UDID.,Social Pension,"Central pension assistance for eligible persons with severe/multiple disability, often supplemented by States/UTs.",Central share ₹300/month age 18-79; ₹500/month from age 80,Apply through State/UT social-welfare/pension portal or designated local authority.,https://nsap.nic.in/,Central criteria/rates normalized from current official NSAP summary; State top-ups and operational rules vary.
National Family Benefit Scheme (NFBS),CENTRAL,All India,Ministry of Rural Development - National Social Assistance Programme,Financial Assistance,One-time assistance to a BPL household after death of the primary breadwinner.,VERIFIED,https://nsap.nic.in/,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,true,,,Death of the household's primary breadwinner; deceased breadwinner generally must have been age 18-59 under NSAP rules.,Household must qualify under BPL/NSAP criteria; State/UT verification applies.,One-time Financial Assistance,Lump-sum central assistance to the eligible household following death of its primary breadwinner.,"₹20,000 one-time",Apply through State/UT NSAP/social-welfare/local-body process with death and household documentation.,https://nsap.nic.in/,Current official NSAP summary used.
Annapurna Scheme (NSAP),CENTRAL,All India,Ministry of Rural Development - National Social Assistance Programme,Food Security,Food-grain support for indigent senior citizens who are eligible for old-age pension but are not receiving it.,LIKELY_ACTIVE,https://nsap.nic.in/,,2026-09-19,65,,ANY,,,,,,,,,,,,,,,,,,true,,,Intended for destitute/eligible senior citizens who remain uncovered by the old-age pension benefit.,Operational targeting can vary by State/UT; verify local availability and beneficiary list.,Food Assistance,Food grains for eligible senior citizens not receiving the old-age pension benefit.,10 kg food grains per month,Identification/application through State/UT NSAP and local administration.,https://nsap.nic.in/,"Scheme remains part of NSAP references, but field-level availability should be checked State-wise."
Rashtriya Vayoshri Yojana (RVY),CENTRAL,All India,Department of Social Justice & Empowerment,Senior Citizens,Provides assisted-living devices and physical aids to eligible senior citizens with age-related disabilities/infirmities.,LIKELY_ACTIVE,https://socialjustice.gov.in/,,2026-09-19,60,,ANY,INDIVIDUAL_MONTHLY,,15000,,,,,,,,,,,true,,,,,,,,Senior citizen with age-related disability/infirmity and prescribed income/economic-status criteria; device need must be assessed.,Assistive Devices,Free eligible assisted-living devices/aids based on assessed functional need.,In-kind devices; value depends on prescribed device,Beneficiaries are identified/assessed through camps and implementing agencies such as ALIMCO/local administration.,https://socialjustice.gov.in/,"Current/recent official programme evidence supports operation, but exact local camp/application availability varies."
Assistance to Disabled Persons for Purchase/Fitting of Aids and Appliances (ADIP),CENTRAL,All India,Department of Empowerment of Persons with Disabilities,Disability,Financial assistance for prescribed assistive devices and appliances for persons with benchmark disabilities.,NEEDS_REVIEW,https://depwd.gov.in/en/adip-scheme/,,2026-09-19,,,ANY,INDIVIDUAL_MONTHLY,,30000,,,,,,,,,,,true,40,,,,,,,Indian citizen with UDID/UDID-enrolment and benchmark disability; repeat-assistance/device replacement intervals and technical assessment apply.,Assistive Devices / Subsidy,"Full or partial assistance for eligible aids/appliances, subject to income and device ceilings.","100% assistance up to ₹22,500 monthly income; 50% assistance for ₹22,501-₹30,000 monthly income, subject to device ceilings",Apply through authorized implementing agency/ALIMCO camp/ADIP process with UDID/disability and income documentation.,https://depwd.gov.in/en/adip-scheme/,"DEPwD page is current, but a continuation reference located in this run mentioned approval only up to 31 March 2026; post-March-2026 extension should be confirmed."
PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),CENTRAL,All India,Department of Social Justice & Empowerment,Skill Development,Free skill development/upskilling programme for notified disadvantaged target groups.,VERIFIED,https://socialjustice.gov.in/schemes/100,,2026-09-19,18,45,ANY,,,,,,,SC|OBC|EWS|DNT|Safai Karamchari/Dependent|Waste Picker|Transgender (as notified),,Unemployed|Underemployed|Self-employed,,,,,,,,,,,,,OBC/EWS candidates generally face income criteria; SC/DNT/safai-karamchari categories have different rules. Course-specific education/skill prerequisites may apply.,Free Training / Stipend,"Free short-term/upskilling/entrepreneurship training, with admissible trainee stipend for eligible groups.","Stipend varies by target group/course; current myScheme examples include ₹1,000-₹1,500/month for specified non-residential categories",Online/assisted registration through PM-DAKSH portal/implementing training partners.,https://pmdaksh.dosje.gov.in/,"Official Social Justice page updated June 2026; age range is scheme-wide, while income rules vary by target group and are not collapsed into one field."
Prime Minister's Employment Generation Programme (PMEGP),CENTRAL,All India,"Ministry of Micro, Small & Medium Enterprises / KVIC",Self-Employment,Credit-linked subsidy programme supporting establishment of new micro enterprises in non-farm activities.,VERIFIED,https://my.msme.gov.in/MyMsme/Reg/COM_PMEGPForm.aspx,,2026-09-19,18,,ANY,,,,,,,,,Self-employed / Aspiring entrepreneur,,,,,,,,,,,,,"Only new projects are eligible; education requirement applies above specified project-cost thresholds. SHGs, societies, production cooperatives and charitable trusts may also qualify.",Credit-linked Subsidy,Margin-money subsidy linked to bank-financed new micro-enterprise projects; subsidy rate depends on category and location.,"Varies by beneficiary category, rural/urban location and eligible project cost","Online PMEGP application followed by scrutiny, training where applicable and bank appraisal.",https://www.kviconline.gov.in/pmegpeportal/pmegponlineapp/index.jsp,MSME current portal lists PMEGP. Project-cost ceilings and subsidy rates are intentionally not hard-coded because current revisions should be checked at application time.
Pradhan Mantri MUDRA Yojana (PMMY),CENTRAL,All India,"Department of Financial Services, Ministry of Finance",MSME,"Collateral-free institutional credit for eligible micro enterprises, including allied agricultural activities.",VERIFIED,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,,2026-09-19,,,ANY,,,,,,,,Micro entrepreneur|Self-employed,Self-employed,,,,,,,,,,,,,Income-generating micro-enterprise in eligible non-corporate/non-farm or allied-agriculture activity; lender credit appraisal applies. Tarun Plus requires successful prior Tarun repayment.,Business Loan,"MUDRA loans under Shishu, Kishore, Tarun and Tarun Plus categories through member lending institutions.","Shishu up to ₹50,000; Kishore >₹50,000-₹5 lakh; Tarun >₹5-₹10 lakh; Tarun Plus >₹10-₹20 lakh for qualifying repeat borrowers",Apply to participating bank/NBFC/MFI or eligible digital lending channel with business proposal/documents.,https://www.mudra.org.in/,Current DFS scheme page includes Tarun Plus introduced from October 2024.
Stand-Up India,CENTRAL,All India,"Department of Financial Services, Ministry of Finance",Entrepreneurship,Bank loans for greenfield enterprises promoted by Scheduled Caste/Scheduled Tribe and/or women entrepreneurs.,VERIFIED,https://financialservices.gov.in/stand-india-scheme-supi,,2026-09-19,18,,ANY,,,,,,,,Entrepreneur,Self-employed / Aspiring entrepreneur,,,,,,,,,,,,,"Applicant must be either SC/ST or a woman entrepreneur. For non-individual enterprises, at least 51% shareholding and controlling stake should be held by eligible SC/ST and/or woman entrepreneur; project must be greenfield in the beneficiary's case.",Business Loan,"Composite bank loan for eligible greenfield manufacturing, services, trading or allied-agriculture enterprise.",₹10 lakh to ₹1 crore,Apply through Stand-Up Mitra/bank branch; handholding and lender appraisal apply.,https://www.standupmitra.in/,"Official DFS scheme page used. SC/ST versus woman eligibility is an OR condition, so it is not emitted as a simple cumulative rule."
PM Vishwakarma,CENTRAL,All India,"Ministry of Micro, Small & Medium Enterprises",Self-Employment,End-to-end support for artisans/craftspeople in 18 notified traditional trades.,VERIFIED,https://champions.gov.in/Ministry-of-MSME/skills%2Cloan%2Ccredit_guarantee%2CPM-atmnirbhar-Economic-Package%2Celigibility_criteria%2Cguidelines_Schemes/query_questions_FAQs.htm,,2026-09-19,18,,ANY,,,,,,,,Artisan/craftsperson in one of 18 notified traditional trades,Self-employed,,,,,,,,,,,,"Only one member per family (husband, wife and unmarried children) can receive scheme registration/benefits.",Must be working with hands/tools in a notified family-based traditional trade in unorganised sector on self-employment basis; government employees and their family are excluded; restrictions apply for recent similar government self-employment loans.,Training / Toolkit / Credit / Marketing Support,"Recognition, skill training with stipend, toolkit incentive, concessional collateral-free enterprise loans and marketing/digital support.","Toolkit up to ₹15,000; enterprise loans up to ₹1 lakh + ₹2 lakh at 5% interest; training stipend ₹500/day plus ₹1,000 transport allowance",Register through Common Service Centre on PM Vishwakarma portal; three-step verification applies.,https://pmvishwakarma.gov.in/,"MSME FAQ confirms age, family restriction, benefits and scheme tenure through FY 2027-28."
PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),CENTRAL,All India,Ministry of Housing & Urban Affairs / Department of Financial Services,Self-Employment,Collateral-free working-capital credit and digital-finance support for street vendors.,VERIFIED,https://pmsvanidhi.mohua.gov.in/,,2026-09-19,,,ANY,,,,,,,,Street vendor|Hawker,Self-employed,,,,,,,,,,URBAN/PERI-URBAN/CENSUS-TOWN AS NOTIFIED,,,Must qualify as a street vendor under scheme/ULB identification rules. Coverage is being expanded beyond statutory towns to census towns and peri-urban areas under the restructured scheme.,Working Capital Loan / Interest Subsidy,"Progressive collateral-free working-capital loans, interest subsidy, digital cashback and credit-card support for eligible vendors.","Loan tranches up to ₹15,000, ₹25,000 and ₹50,000; eligible UPI-linked RuPay credit card up to ₹30,000",Apply through PM SVANidhi portal/ULB/participating lender/CSC; vendor identification/verification applies.,https://pmsvanidhi.mohua.gov.in/,Restructured scheme is officially extended to 31 March 2030; 2026 official releases confirm active lending.
Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY 2.0),CENTRAL,All India,Ministry of Rural Development,Skill Development,Placement-linked skill training for poor rural youth.,VERIFIED,https://www.kaushal.rural.gov.in/,,2026-09-19,15,,ANY,,,,,,,,,Unemployed / Underemployed,,,,,,,,,,RURAL,,Target household must meet rural-poor identification criteria such as PIP/BPL or specified proxy categories.,Base target is poor rural youth age 15-35; upper age can extend to 45 for women and specified vulnerable groups. Candidate must reach age 18 by training completion.,Free Skill Training / Placement Support,Market-linked residential/non-residential skill training with placement and post-placement support under approved projects.,Training/support funded under programme norms,Register as candidate on the unified Rural Skills platform or through local DDU-GKY mobilisation/training partners.,https://www.kaushal.rural.gov.in/,"Unified portal shows active DDU-GKY 2.0 activity in August-September 2026. Base target is 15-35, but upper age extends to 45 for specified groups, so no single hard age_max is encoded."
Rural Self Employment Training Institutes (RSETI 2.0),CENTRAL,All India,Ministry of Rural Development,Self-Employment,Free entrepreneurship and self-employment training through bank-sponsored RSETIs for rural youth.,VERIFIED,https://www.kaushal.rural.gov.in/,,2026-09-19,18,45,ANY,,,,,,,,,Unemployed / Aspiring self-employed,,,,,,,,,,RURAL,,,Programme targets rural youth. General age is 18-45; RSETI 2.0 permits selective flexibility up to 50 for certain traditional-skill programmes.,Free Training / Entrepreneurship Support,Short-duration entrepreneurship and vocation training with handholding for self-employment/credit linkage.,Non-cash training/support,Register through local RSETI or unified Rural Skills portal when candidate registration is available.,https://www.kaushal.rural.gov.in/,Current Rural Skills portal shows RSETI 2.0 reviews/events in 2026 and 647 training centres.
National Career Service (NCS),CENTRAL,All India,Ministry of Labour & Employment,Employment,"Free national employment and career-services platform connecting jobseekers, employers, counsellors and training resources.",VERIFIED,https://www.ncs.gov.in/,,2026-09-19,14,,ANY,,,,,,,,,,,,,,,,,,,,,,"Jobseeker registration is broadly open; specific vacancies impose their own age, education, skill and experience criteria.",Employment Service,"Job search, job matching, career information/counselling and job-fair services.",Free service,Register online as a jobseeker or use NCS centres/helpline.,https://www.ncs.gov.in/,Official NCS portal is active; NCS itself has broad eligibility while each job opportunity has separate rules.
National Apprenticeship Training Scheme (NATS 2.0),CENTRAL,All India,"Department of Higher Education, Ministry of Education",Skill Development,"Apprenticeship training for graduate, diploma and vocational qualification holders to gain industry experience.",LIKELY_ACTIVE,https://nats.education.gov.in/,,2026-09-19,,,ANY,,,,,,,,,Fresher / Apprentice,true,Graduate|Diploma|Vocational Certificate,,,,,,,,,,,"Applicant must hold an eligible graduate/diploma/vocational qualification and satisfy vacancy-specific discipline, passing-year and prior-experience conditions.",Apprenticeship / Stipend,6-12 month practical on-the-job training with stipend under participating establishments.,Stipend varies by apprenticeship category/establishment and statutory rates,Register on NATS 2.0 and apply against advertised apprenticeship opportunities.,https://nats.education.gov.in/,Official Board of Apprenticeship Training page confirms NATS 2.0 use by recent graduates/diploma holders; exact eligibility varies by advertisement.
Pradhan Mantri Kaushal Vikas Yojana 4.0 (PMKVY 4.0),CENTRAL,All India,Ministry of Skill Development & Entrepreneurship,Skill Development,"National skill-certification programme covering short-term training, special projects and recognition of prior learning.",VERIFIED,https://www.msde.gov.in/static/uploads/2025/09/20d9aac4ce972a765e83f28682536ee0.pdf,,2026-09-19,15,,ANY,,,,,,,,,Unemployed / Out-of-education / Seeking skilling,,,,,,,,,,,,,Short-term training/special-project candidates are generally Indian nationals age 15-45 with valid Aadhaar and job-role prerequisites; RPL has separate 18-59 range and prior-experience requirement.,Free Skill Training / Certification,"Government-funded skilling, assessment and certification through Skill India Digital and approved training providers.",Non-cash training/certification; programme funds training costs under norms,Register through Skill India Digital/approved training provider for available job roles.,https://www.skillindiadigital.gov.in/,"Current official PMKVY 4.0 guidelines define 15-45 for STT/Special Projects and 18-59 for RPL; because the row covers all components, only the broad minimum is structured and component-specific upper ages remain in notes."
FutureSkills PRIME Incentive Program,CENTRAL,All India,Ministry of Electronics & Information Technology (MeitY) / NASSCOM,Skill Development,Incentive support for eligible learners completing approved FutureSkills PRIME digital-skilling courses.,VERIFIED,https://www.myscheme.gov.in/schemes/fspip,,2026-09-19,,,ANY,,,,,,,,,,,,,,,,,,,,,,"Open to Indian citizens subject to course/payment/completion and incentive-component rules; no general age, education or income ceiling on the myScheme listing.",Training Incentive / Reimbursement,"Incentives/reimbursements for eligible paid courses, assessments and deep-skilling pathways on FutureSkills PRIME.","Overall incentive up to ₹12,000; component ceilings apply (e.g. deep skilling up to ₹8,000, bridge/foundation up to ₹3,000, assessment up to ₹600)","Enroll and complete eligible courses/assessments on FutureSkills PRIME, then follow incentive claim workflow.",https://www.futureskillsprime.in/,Current myScheme listing used.
Deendayal Antyodaya Yojana - National Rural Livelihoods Mission (DAY-NRLM),CENTRAL,All India,Ministry of Rural Development,Livelihood,"Organises rural poor women into self-help groups and supports credit linkage, livelihoods and community institutions.",VERIFIED,https://nrlm.gov.in/,,2026-09-19,,,FEMALE,,,,,,,,,,,,,,,,,,,RURAL,,At least one adult woman from an identified rural poor household is typically mobilised into an SHG.,Target households are identified using participatory/poverty-vulnerability processes and State NRLM implementation rules.,SHG / Livelihood / Credit Linkage Support,"SHG formation, bank linkage, revolving/community funds, livelihood and institution-building support under programme norms.",Varies by SHG/community investment and State implementation,"Mobilisation/enrolment through State Rural Livelihood Missions, village organisations and local community institutions.",https://nrlm.gov.in/,Current NRLM MIS is active; this is community-program eligibility rather than a simple individual online application.
National Apprenticeship Promotion Scheme 2.0 (NAPS-2),CENTRAL,All India,Ministry of Skill Development & Entrepreneurship,Skill Development,Promotes apprenticeship by providing government support toward apprentice stipend and encouraging establishments to engage apprentices.,LIKELY_ACTIVE,https://www.apprenticeshipindia.gov.in/,,2026-09-19,,,ANY,,,,,,,,,Apprentice / Seeking apprenticeship,,,,,,,,,,,,,"Eligibility depends on trade/category, minimum age, education/skill qualification and Apprentices Act rules for the advertised apprenticeship.",Apprenticeship / Stipend Support,On-the-job apprenticeship with partial government stipend support under NAPS-2 and statutory apprenticeship rules.,Stipend depends on apprenticeship category and prescribed rates,Register and apply through Apprenticeship India/Skill India systems to eligible apprenticeship opportunities.,https://www.apprenticeshipindia.gov.in/,MSDE annual reporting confirms NAPS-2 from April 2022 with DBT stipend support; exact candidate rules are trade-specific.
