scheme_name,state_or_ut,field,operator,value,rule_confidence,notes
Grass/Fodder Production Unit Assistance Scheme,Gujarat,state_or_ut,equals,Gujarat,VERIFIED,
Grass/Fodder Production Unit Assistance Scheme,Gujarat,farmer_status,boolean_equals,true,VERIFIED,
Grass/Fodder Production Unit Assistance Scheme,Gujarat,rural_urban,equals,RURAL,VERIFIED,
Sant Sohirobanath Ambiye Dnyanvruddhi Shishyavrutti (Bursary Scheme),Goa,state_or_ut,equals,Goa,VERIFIED,
Sant Sohirobanath Ambiye Dnyanvruddhi Shishyavrutti (Bursary Scheme),Goa,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Samupadeshan Yojana,Goa,state_or_ut,equals,Goa,VERIFIED,
Mukhyamantri Samupadeshan Yojana,Goa,student_status,boolean_equals,true,VERIFIED,
Interest Free Education Loan Scheme for Higher Education,Goa,state_or_ut,equals,Goa,VERIFIED,
Interest Free Education Loan Scheme for Higher Education,Goa,student_status,boolean_equals,true,VERIFIED,
Manohar Parrikar Goa Scholars Scheme 2025,Goa,state_or_ut,equals,Goa,VERIFIED,
Manohar Parrikar Goa Scholars Scheme 2025,Goa,student_status,boolean_equals,true,VERIFIED,
Chief Minister's Kaushalya Path Scheme (CMKPS),Goa,state_or_ut,equals,Goa,VERIFIED,
Gagan Bharari Shiksha Yojana - ST,Goa,state_or_ut,equals,Goa,VERIFIED,
Gagan Bharari Shiksha Yojana - ST,Goa,social_category,equals,ST,VERIFIED,
Gagan Bharari Shiksha Yojana - ST,Goa,student_status,boolean_equals,true,VERIFIED,
Merit Based Scholarship Scheme - ST,Goa,state_or_ut,equals,Goa,VERIFIED,
Merit Based Scholarship Scheme - ST,Goa,social_category,equals,ST,VERIFIED,
Merit Based Scholarship Scheme - ST,Goa,student_status,boolean_equals,true,VERIFIED,
Home Nursing Scholarship Scheme - ST,Goa,state_or_ut,equals,Goa,VERIFIED,
Home Nursing Scholarship Scheme - ST,Goa,social_category,equals,ST,VERIFIED,
Home Nursing Scholarship Scheme - ST,Goa,student_status,boolean_equals,true,VERIFIED,
Kanya Dhan Scheme - SC,Goa,state_or_ut,equals,Goa,VERIFIED,
Kanya Dhan Scheme - SC,Goa,gender,equals,FEMALE,VERIFIED,
Kanya Dhan Scheme - SC,Goa,social_category,equals,SC,VERIFIED,
Kanya Dhan Scheme - SC,Goa,student_status,boolean_equals,true,VERIFIED,
Saral Vidya Sahay Scheme - SC (V to VIII),Goa,state_or_ut,equals,Goa,VERIFIED,
Saral Vidya Sahay Scheme - SC (V to VIII),Goa,social_category,equals,SC,VERIFIED,
Saral Vidya Sahay Scheme - SC (V to VIII),Goa,student_status,boolean_equals,true,VERIFIED,
Free Laptop Scheme ITG,Goa,state_or_ut,equals,Goa,VERIFIED,
Free Laptop Scheme ITG,Goa,student_status,boolean_equals,true,VERIFIED,
Stipend to Disabled Students,Goa,state_or_ut,equals,Goa,VERIFIED,
Stipend to Disabled Students,Goa,student_status,boolean_equals,true,VERIFIED,
Stipend to Disabled Students,Goa,disability_status,boolean_equals,true,VERIFIED,
Scholarship for Disabled Students,Goa,state_or_ut,equals,Goa,VERIFIED,
Scholarship for Disabled Students,Goa,student_status,boolean_equals,true,VERIFIED,
Scholarship for Disabled Students,Goa,disability_status,boolean_equals,true,VERIFIED,
Children of Widow Scheme,Goa,state_or_ut,equals,Goa,VERIFIED,
Dayanand Social Security Scheme,Goa,state_or_ut,equals,Goa,LIKELY_ACTIVE,
Deen Dayal Swasthya Seva Yojana,Goa,state_or_ut,equals,Goa,LIKELY_ACTIVE,
Atal Asra Yojana,Goa,state_or_ut,equals,Goa,LIKELY_ACTIVE,
Assistance for Purchase of Agriculture Inputs Scheme,Goa,state_or_ut,equals,Goa,LIKELY_ACTIVE,
Assistance for Purchase of Agriculture Inputs Scheme,Goa,farmer_status,boolean_equals,true,LIKELY_ACTIVE,
Assistance for Community Farming and Promotion of Organic Farming Scheme,Goa,state_or_ut,equals,Goa,LIKELY_ACTIVE,
Assistance for Community Farming and Promotion of Organic Farming Scheme,Goa,farmer_status,boolean_equals,true,LIKELY_ACTIVE,
Shetkari Adhar Nidhi / Assistance for Fencing,Goa,state_or_ut,equals,Goa,LIKELY_ACTIVE,
Shetkari Adhar Nidhi / Assistance for Fencing,Goa,farmer_status,boolean_equals,true,LIKELY_ACTIVE,
Mahtari Vandan Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mahtari Vandan Yojana,Chhattisgarh,gender,equals,FEMALE,VERIFIED,
Krishak Unnati Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Krishak Unnati Yojana,Chhattisgarh,farmer_status,boolean_equals,true,VERIFIED,
Mukhyamantri Kanya Vivah Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Kanya Vivah Yojana,Chhattisgarh,age,>=,18,VERIFIED,
Mukhyamantri Kanya Vivah Yojana,Chhattisgarh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri SC/ST Vidyarthi Utkarsh Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri SC/ST Vidyarthi Utkarsh Yojana,Chhattisgarh,social_category,in,SC|ST,VERIFIED,
Mukhyamantri SC/ST Vidyarthi Utkarsh Yojana,Chhattisgarh,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Bal Bhavishya Suraksha Yojana (Prayas),Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Bal Bhavishya Suraksha Yojana (Prayas),Chhattisgarh,student_status,boolean_equals,true,VERIFIED,
Rajiv Yuva Utthan Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Civil Services Protsahan Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Yuva Career Nirman Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Chief Minister Employment Generation Programme,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Minimata Mahtari Jatan Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Cycle Sahayata Yojana (Construction Workers),Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Shramik Auzar Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Silai Machine Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Naunihal Chhatravritti Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Naunihal Chhatravritti Yojana,Chhattisgarh,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Noni Babu Medhavi Shiksha Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Noni Babu Medhavi Shiksha Sahayata Yojana,Chhattisgarh,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Nirman Mazdoor Suraksha Upkaran Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Nirman Shramik Mrityu Evam Divyang Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Noni Sashaktikaran Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Noni Sashaktikaran Sahayata Yojana,Chhattisgarh,gender,equals,FEMALE,VERIFIED,
Mukhyamantri Shramik Siyan Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Mukhyamantri Nirman Shramik Awas Sahayata Yojana,Chhattisgarh,state_or_ut,equals,Chhattisgarh,VERIFIED,
Jharkhand Mukhyamantri Maiya Samman Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Jharkhand Mukhyamantri Maiya Samman Yojana,Jharkhand,gender,equals,FEMALE,VERIFIED,
Savitribai Phule Kishori Samriddhi Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Savitribai Phule Kishori Samriddhi Yojana,Jharkhand,gender,equals,FEMALE,VERIFIED,
Savitribai Phule Kishori Samriddhi Yojana,Jharkhand,student_status,boolean_equals,true,VERIFIED,
Guruji Student Credit Card Scheme,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Guruji Student Credit Card Scheme,Jharkhand,student_status,boolean_equals,true,VERIFIED,
Manki Munda Scholarship Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Manki Munda Scholarship Yojana,Jharkhand,student_status,boolean_equals,true,VERIFIED,
Marang Gomke Jaipal Singh Munda Overseas Scholarship,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Marang Gomke Jaipal Singh Munda Overseas Scholarship,Jharkhand,student_status,boolean_equals,true,VERIFIED,
Eklavya Prashikshan Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Mukhyamantri Shiksha Protsahan Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Mukhyamantri Shiksha Protsahan Yojana,Jharkhand,student_status,boolean_equals,true,VERIFIED,
CM Fellowship Programme,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
CM Fellowship Programme,Jharkhand,student_status,boolean_equals,true,VERIFIED,
Balmiki Scholarship Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Balmiki Scholarship Yojana,Jharkhand,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Rojgar Srijan Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Mukhyamantri Rojgar Srijan Yojana,Jharkhand,social_category,in,SC|ST|OBC|MINORITY,VERIFIED,
Abua Awas Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Abua Awas Yojana,Jharkhand,rural_urban,equals,RURAL,VERIFIED,
Mukhyamantri Abua Swasthya Suraksha Yojana,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Birsa Harit Gram Yojana,Jharkhand,state_or_ut,equals,Jharkhand,LIKELY_ACTIVE,
Birsa Harit Gram Yojana,Jharkhand,rural_urban,equals,RURAL,LIKELY_ACTIVE,
Neelambar Pitambar Jal Samridhi Yojana,Jharkhand,state_or_ut,equals,Jharkhand,LIKELY_ACTIVE,
Neelambar Pitambar Jal Samridhi Yojana,Jharkhand,rural_urban,equals,RURAL,LIKELY_ACTIVE,
Veer Shaheed Poto Ho Khel Vikas Yojana,Jharkhand,state_or_ut,equals,Jharkhand,LIKELY_ACTIVE,
Veer Shaheed Poto Ho Khel Vikas Yojana,Jharkhand,rural_urban,equals,RURAL,LIKELY_ACTIVE,
Integrated Poultry Development Scheme,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Backyard / Low Input Layer Poultry Farming Scheme,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Backyard / Low Input Layer Poultry Farming Scheme,Jharkhand,rural_urban,equals,RURAL,VERIFIED,
Broiler Poultry Unit Scheme,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Broiler Poultry Unit Scheme,Jharkhand,rural_urban,equals,RURAL,VERIFIED,
Duckling Distribution Scheme,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Duckling Distribution Scheme,Jharkhand,rural_urban,equals,RURAL,VERIFIED,
Paravet Training Scheme,Jharkhand,state_or_ut,equals,Jharkhand,VERIFIED,
Paravet Training Scheme,Jharkhand,age,>=,18,VERIFIED,
Paravet Training Scheme,Jharkhand,age,<=,40,VERIFIED,
SUBHADRA,Odisha,state_or_ut,equals,Odisha,VERIFIED,
SUBHADRA,Odisha,gender,equals,FEMALE,VERIFIED,
CM KISAN,Odisha,state_or_ut,equals,Odisha,VERIFIED,
CM KISAN,Odisha,farmer_status,boolean_equals,true,VERIFIED,
Krishi Vidya Nidhi Scholarship,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Krishi Vidya Nidhi Scholarship,Odisha,student_status,boolean_equals,true,VERIFIED,
Mukhyamantri Krushi Udyog Yojana (MKUY),Odisha,state_or_ut,equals,Odisha,VERIFIED,
BALARAM,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Samrudha Krushak Yojana,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Samrudha Krushak Yojana,Odisha,farmer_status,boolean_equals,true,VERIFIED,
Shree Anna Abhiyan,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Shree Anna Abhiyan,Odisha,farmer_status,boolean_equals,true,VERIFIED,
Promotion of Indigenous Aromatic & Non-aromatic Paddy Scheme,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Promotion of Indigenous Aromatic & Non-aromatic Paddy Scheme,Odisha,farmer_status,boolean_equals,true,VERIFIED,
Financial Assistance to Cold Storage Scheme,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Madhu Babu Pension Yojana,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Madhu Babu Pension Yojana,Odisha,age,>=,60,VERIFIED,
Madhu Babu Pension Yojana,Odisha,annual_income,<=,24000,VERIFIED,income_type=FAMILY_ANNUAL
Marriage Incentive for Persons with Disabilities,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Marriage Incentive for Persons with Disabilities,Odisha,disability_status,boolean_equals,true,VERIFIED,
Free Laptop for Visually Impaired Students,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Free Laptop for Visually Impaired Students,Odisha,student_status,boolean_equals,true,VERIFIED,
Banishree Scholarship,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Banishree Scholarship,Odisha,student_status,boolean_equals,true,VERIFIED,
Banishree Scholarship,Odisha,disability_status,boolean_equals,true,VERIFIED,
Bhima Bhoi Bhinnakshyama Samarthya Abhiyan (BBSA),Odisha,state_or_ut,equals,Odisha,VERIFIED,
Bhima Bhoi Bhinnakshyama Samarthya Abhiyan (BBSA),Odisha,disability_status,boolean_equals,true,VERIFIED,
SAHAYA,Odisha,state_or_ut,equals,Odisha,VERIFIED,
DISHAA,Odisha,state_or_ut,equals,Odisha,VERIFIED,
ABADANA,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Sweekruti,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Skill Development Training for PwDs,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Skill Development Training for PwDs,Odisha,disability_status,boolean_equals,true,VERIFIED,
Umbrella Scheme for Rehabilitation of Cured Leprosy Persons,Odisha,state_or_ut,equals,Odisha,VERIFIED,
Annapurna Yojana,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Annapurna Yojana,West Bengal,age,>=,25,VERIFIED,
Annapurna Yojana,West Bengal,age,<=,60,VERIFIED,
Annapurna Yojana,West Bengal,gender,equals,FEMALE,VERIFIED,
Banglar Yuba Sathi,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Banglar Yuba Sathi,West Bengal,age,>=,21,VERIFIED,
Banglar Yuba Sathi,West Bengal,age,<=,40,VERIFIED,
Student Internship Programme 2024,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Student Internship Programme 2024,West Bengal,age,<=,40,VERIFIED,
Student Internship Programme 2024,West Bengal,student_status,boolean_equals,true,VERIFIED,
Aikyashree,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Aikyashree,West Bengal,student_status,boolean_equals,true,VERIFIED,
Aikyashree,West Bengal,minority_status,boolean_equals,true,VERIFIED,
Utkarsh Bangla,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Bangla Abash Yojana,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Karmashree,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Karmashree,West Bengal,rural_urban,equals,RURAL,VERIFIED,
Lokprasar Prakalpo,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Chaa Sundari Extension Scheme,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Swami Vivekananda Merit-cum-Means Scholarship (SVMCM),West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Swami Vivekananda Merit-cum-Means Scholarship (SVMCM),West Bengal,student_status,boolean_equals,true,VERIFIED,
Sabuj Sathi,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Sabuj Sathi,West Bengal,student_status,boolean_equals,true,VERIFIED,
Duare Ration,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Samobyathi,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Taruner Swapna,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Taruner Swapna,West Bengal,annual_income,<=,200000,VERIFIED,income_type=FAMILY_ANNUAL
Taruner Swapna,West Bengal,student_status,boolean_equals,true,VERIFIED,
Bangla Shasya Bima,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Bangla Shasya Bima,West Bengal,farmer_status,boolean_equals,true,VERIFIED,
Yogyashree Scheme,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Yogyashree Scheme,West Bengal,student_status,boolean_equals,true,VERIFIED,
Khadya Sathi,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Lakshmir Bhandar,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Lakshmir Bhandar,West Bengal,gender,equals,FEMALE,VERIFIED,
Rupashree Prakalpa,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Rupashree Prakalpa,West Bengal,age,>=,18,VERIFIED,
Rupashree Prakalpa,West Bengal,gender,equals,FEMALE,VERIFIED,
Kanyashree Prakalpa,West Bengal,state_or_ut,equals,West Bengal,VERIFIED,
Kanyashree Prakalpa,West Bengal,age,>=,13,VERIFIED,
Kanyashree Prakalpa,West Bengal,gender,equals,FEMALE,VERIFIED,
Kanyashree Prakalpa,West Bengal,student_status,boolean_equals,true,VERIFIED,
